Šifra;Naziv;Župnija;Poštanski Broj;Mjesto;Adresa;Tip Ustanove;Osnivač;Ravnatelj;Telefon;Faks;e Pošta;Web
01-032-001;OSNOVNA ŠKOLA ĐURE DEŽELIĆA IVANIĆ GRAD;Zagrebačka županija;10310;Ivanić-Grad;Park hrvatskih branitelja 4;Osnovna škola, Posebna ustanova odgoja i obrazovanja;Zagrebačka županija;Mileo Todić;01/288-16-95, 01/283-04-82;01/288-16-93;ured@os-gjdezelica-ivanicgrad.skole.hr;http://os-gjdezelica-ivanicgrad.skole.hr
01-032-002;Osnovna škola Stjepana Basaričeka;Zagrebačka županija;10310;Ivanić-Grad;Milke Trnine 14;Osnovna škola, Umjetnička škola;Zagrebačka županija;Vlatka Koletić;288-18-80, 288-18-81, 2885-012;;ured@os-sbasariceka-ivanicgrad.skole.hr;http://www.os-sbasariceka-ivanicgrad.skole.hr/
01-032-003;OSNOVNA ŠKOLA JOSIPA BADALIĆA GRABERJE IVANIĆKO;Zagrebačka županija;10313;Graberje Ivanićko;Zagrebačka 11;Osnovna škola;Zagrebačka županija;Martina Novak;2820110, 2830154, 2820-825;;ured@os-jbadalica-graberjeivanicko.skole.hr;http://os-jbadalica-graberjeivanicko.skole.hr
01-032-005;Osnovna škola Posavski Bregi;Zagrebačka županija;10311;Posavski Bregi;SAVSKA 70;Osnovna škola;Zagrebačka županija;Renata Koić;01 2829-193, 01 2821 960;;ured@os-posavski-bregi.skole.hr;os-posavski-bregi.skole.hr
01-033-001;Osnovna škola Ljubo Babić;Zagrebačka županija;10450;Jastrebarsko;Ante i Davida Starčevića 16;Osnovna škola;Zagrebačka županija;Sanja Sertić;01/628-12-12, 01/628-46-26, 01/6284-626;01/628-12-12;ljbabic@os-jastrebarsko.hr, ljbabic@os-ljbabic-jastrebarsko.skole.hr;
01-073-001;OSNOVNA ŠKOLA BOGUMILA TONIJA;Zagrebačka županija;10430;Samobor;IVANA PERKOVCA 90;Osnovna škola;GRAD SAMOBOR;Milena Kolarec;01/336-01-51, 01/336-59-76;01/336-59-76,01/3367-322;ured@os-bogumil-toni-samobor.skole.hr;http://os-bogumil-toni-samobor.skole.hr/skola/kontakti
01-073-002;OSNOVNA ŠKOLA MIHAELA ŠILOBODA;Zagrebačka županija;10435;Sveti Martin pod Okićem;Sveti Martin pod Okićem 37b;Osnovna škola;GRAD SAMOBOR;Goran Lesjak;3382 346, 3877 415, 3876 583, 3876 593, 3876 564;3336 660;ured@os-msiloboda.skole.hr;
01-073-003;OSNOVNA ŠKOLA SAMOBOR;Zagrebačka županija;10430;Samobor;STRAŽNIČKA 14;Osnovna škola;GRAD SAMOBOR;Goran Ivan Matoš;01-336-03-14;01-336-60-57;ured@os-samobor.skole.hr;www.os-samobor.skole.hr
01-073-004;OSNOVNA ŠKOLA MILANA LANGA;Zagrebačka županija;10432;Bregana;LANGOVA 2;Osnovna škola;Grad Samobor;Igor Matijašić;337-53-96, 337-62-66, 3324 442;3324 443;ured@osmilanalanga.hr;http://os-mlanga-bregana.skole.hr/
01-073-006;OSNOVNA ŠKOLA RUDE;Zagrebačka županija;10430;Rude;Rude 93;Osnovna škola;GRAD SAMOBOR;Miroslav Fresl;01/3379110;01/3379253;ured@os-rude.skole.hr;\thttp://os-rude.skole.hr
