"sifra";"podsifra";"skola";"ime_ravnatelja";"prezime_ravnatelja"
"08-071-002";"0-0";Osnovna škola Brajda;Adriana;Rubignoni-Cecić
"16-088-001";"0-0";Osnovna škola Bartola Kašića;Adrijana;Cvrković Lasić
"09-061-501";"0-0";Srednja škola Otočac;Adela;Rukavina
"01-108-501";"0-0";Srednja škola Ban Josip Jelačić                               ;Alan;Labus
"15-081-504";"0-0";Medicinska škola;Aleksandra;Acalin
"21-114-116";"0-0";Osnovna škola Nad lipom;Alma;Srna
"08-071-013";"0-0";Osnovna škola Eugen Kumičić;Ana;Anić Opašić
"11-077-508";"0-0";Glazbena škola Požega;Alen;Kovačević
"18-069-001";"0-0";Osnovna škola Šijana Pula;Alma;Tomljanović
"17-090-501";"0-0";Srednja škola Antun Matijašević - Karamaneo;Alma;Vodopija
"12-078-011";"0-0";Osnovna škola Dragutin Tadijanović;Ana;Blagović
"14-060-009";"0-0";Osnovna škola Ljudevita Gaja;Aleksandra;Krampač-Grljušić
"09-304-001";"0-0";Osnovna škola A. G. Matoša Novalja;Aleksij;Škunca
"08-071-516";"0-0";Medicinska škola u Rijeci;Alen;Vukelić
"21-114-022";"0-0";Osnovna škola Mate Lovraka;Alemka;Pliestić
"02-182-001";"0-0";Osnovna škola Ljudevit Gaj Mihovljan;Alen;Vokas
"14-388-003";"0-0";Osnovna škola Lug - Laskói Általános Iskola                        ;Ana;Kovačević
"17-457-001";"0-0";Osnovna škola Jelsa;Ana;Miljak
"11-064-003";"0-0";Osnovna glazbena škola Pakrac;Alfreda;Petani Grafina
"13-368-001";"0-0";Osnovna škola Petra Zoranića;Ana;Milovac
"08-071-009";"0-0";Osnovna škola "Vladimir Gortan"    ";Ana;Biočić
"17-075-004";"0-0";Osnovna škola "Stjepan Radić"           ";Ana;Bravić
"19-509-003";"0-0";Osnovna škola Kuna;Ana;Milovčić
"21-114-536";"0-0";Druga ekonomska škola;Ana;Naletilić
"09-301-001";"0-0";Osnovna škola Karlobag;Ana-Maria;Devčić
"21-114-069";"0-0";Osnovna škola Nikole Tesle;Romana Ana;Reščić
"07-261-001";"0-0";Osnovna škola Mirka Pereša;Anamarija;Tuškan
"01-151-003";"0-0";Osnovna škola Pavao Belas;Andrej;Peklić
"04-034-003";"0-0";Osnovna škola Švarča;Andreja;Željković
"02-184-001";"0-0";Osnovna škola Antuna Mihanovića Petrovsko;Andrijana;Osredečki
"21-114-067";"0-0";Osnovna škola Rudeš;Anđelka;Jalušić
"17-125-001";"0-0";Osnovna škola don Lovre Katića;Anđelka;Slavić
"05-053-001";"0-0";Osnovna škola Novi Marof;Anđelko;Bošnjak
"16-436-001";"0-0";Osnovna škola Stari Jankovci;Anđelko;Lučić
"02-169-001";"0-0";Osnovna škola Đure Prejca Desinić;Anica;Karažija
"01-156-001";"0-0";Osnovna škola Sveta Nedelja;Anica;Magdalenić
"08-070-001";"0-0";Osnovna škola Ivana Rabljanina Rab;Anamari;Šarin
"13-374-001";"0-0";Osnovna škola "Ivan Goran Kovačić";Anita;Gašparović
"18-069-009";"0-0";Osnovna škola Veruda Pula;Anita;Mokorić Brščić
"13-366-001";"0-0";Osnovna škola Pakoštane;Andrija;Vanjak
"14-403-001";"0-0";Osnovna škola Ivana Brlić Mažuranić;Andro;Mršić
"05-227-001";"0-0";Osnovna škola Vladimir Nazor;Anđelka;Rihtarić
"04-056-002";"0-0";Osnovna škola Ivane Brlić-Mažuranić Ogulin;Anđelka;Salopek
"17-090-001";"0-0";Osnovna škola Vis;Anela;Borčić
"03-066-002";"0-0";Osnovna škola Mate Lovraka Petrinja;Ankica;Krnjajić Magdić
"03-043-502";"0-0";Tehnička škola Kutina;Ante;Dževlan
"17-124-001";"0-0";Osnovna škola kneza Mislava;Anita;Luketin
"18-068-006";"0-0";Osnovna škola Finida;Anita;Sijerković Radin
"10-067-003";"0-0";Glazbena škola Milka Kelemena;Antonio;Brzica
"21-114-028";"0-0";Osnovna škola Antuna Gustava Matoša;Antonio;Jurčev
"19-018-507";"0-0";Pomorsko-tehnička škola Dubrovnik;Antonio;Lučić
"19-018-508";"0-0";Turistička i ugostiteljska škola Dubrovnik;Antun;Perušina
"14-060-007";"0-0";Osnovna škola Frana Krste Frankopana;Antun;Ptičar
"02-178-003";"0-0";Centar za odgoj i obrazovanje Krapinske Toplice;Antun;Zupanc
"17-454-002";"0-0";Osnovna škola Studenci;Ante;Češljar
"14-406-001";"0-0";Osnovna škola Luka Botić;Ante;Lagator
"17-454-001";"0-0";Osnovna škola Silvija Strahimira Kranjčevića Lovreć;Ante;Livajić
"14-392-001";"0-0";Osnovna škola Bratoljuba Klaića;Ante;Lovrinčević
"07-004-506";"0-0";Tehnička škola Bjelovar;Ante;Šola
"04-034-014";"0-0";Osnovna škola "Skakavac";Anto;Ćališ
"21-114-530";"0-0";Elektrostrojarska obrtnička škola;Anto;Delač
"21-114-554";"0-0";Obrtnička i industrijska graditeljska škola;Anto;Vidović
"08-095-001";"0-0";Osnovna škola Ivana Gorana Kovačića Vrbovsko;Anton;Burić
"14-060-501";"0-0";Elektrotehnička i prometna škola Osijek;Antun;Kovačić
"21-114-058";"0-0";Osnovna škola Horvati;Biserka;Matić-Roško
"18-068-002";"0-0";Osnovna škola Tar - Vabriga - Scuola elementare Torre - Abrega;Andrea;Baksa
"14-060-512";"0-0";Ugostiteljsko-turistička škola;Andrej;Kristek
"08-008-501";"0-0";Srednja škola dr. Antuna Barca Crikvenica;Arsen;Badurina
"02-172-001";"0-0";Osnovna škola Viktora Kovačića;Biserka;Špiljak
"12-051-001";"0-0";Osnovna škola Ljudevita Gaja Nova Gradiška;Blagica;Pečnjak
"14-485-001";"0-0";Osnovna škola Ante Starčevića Viljevo;Blaženka;Škrlec
"08-071-021";"0-0";Osnovna škola Gornja Vežica;Bojana;Matešin
"17-030-505";"0-0";Gimnazija dr. Mate Ujevića;Boris;Karin
"07-004-503";"0-0";Medicinska škola Bjelovar;Biljana;Balenović
"08-294-001";"0-0";Osnovna škola Ivana Mažuranića;Boris;Turjak
"19-112-002";"0-0";Osnovna škola Fra Ante Gnječa;Boro;Bustruc
"11-320-001";"0-0";Osnovna škola Mladost;Boško;Obradović
"13-375-001";"0-0";Osnovna škola Petar Zoranić;Božena;Delić-Žepina
"07-274-001";"0-0";Osnovna škola Rovišće;Blanka;Klemić
"14-001-503";"0-0";Druga srednja škola Beli Manastir;Blaženka;Kalčić
"13-352-001";"0-0";Osnovna škola Sukošan;Branimir;Peričić
"12-344-001";"0-0";Osnovna škola Dragalić;Branka;Francuz
"08-095-501";"0-0";Željeznička tehnička škola Moravice;Borivoj;Dokmanović
"08-277-001";"0-0";Osnovna škola Rudolfa Strohala;Borka;Kezele-Kanjer
